epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.6861,4.05186,6.29566,0.07297,0.0003,0.06977,0.00017,3e-05,4.65978,4.78476,0.13724,0.0702326,0.00330749,0.00330749
2,71.7544,3.28968,4.04819,0.05024,0.00239,0.60465,0.00499,0.00083,3.37476,3.51511,0.08945,0.0401668,0.00657508,0.00657508
3,104.422,3.10036,4.03893,0.046,0.00352,0.77519,0.01287,0.00278,2.97555,3.32306,0.07515,0.0100351,0.00977667,0.00977667
4,136.744,2.91599,4.15363,0.04535,0.00456,0.35659,0.00608,0.00182,2.25495,3.64802,0.04743,0.009703,0.009703,0.009703
5,168.529,2.84462,4.14462,0.04358,0.00398,0.9186,0.01809,0.00373,2.71396,3.48178,0.06486,0.009604,0.009604,0.009604
6,200.617,2.85187,3.684,0.04295,0.01388,0.03876,0.00766,0.00219,2.47323,4.01488,0.05556,0.009505,0.009505,0.009505
7,233.003,2.82386,3.08975,0.04198,0.07232,0.13178,0.04282,0.01044,2.45511,3.18138,0.05279,0.009406,0.009406,0.009406
8,265.837,2.71683,2.96328,0.04079,0.27316,0.25194,0.19906,0.05475,2.3727,2.56925,0.05202,0.009307,0.009307,0.009307
9,298.141,2.64689,2.82297,0.04023,0.32909,0.33721,0.24713,0.071,2.30912,2.49555,0.05094,0.009208,0.009208,0.009208
10,330.606,2.53328,2.79468,0.03836,0.30101,0.39922,0.24876,0.07979,2.18884,2.57261,0.04565,0.009109,0.009109,0.009109
11,363.287,2.4537,2.73244,0.03748,0.32614,0.39535,0.31378,0.09853,2.25422,2.48168,0.04885,0.00901,0.00901,0.00901
12,395.607,2.36728,2.74165,0.03581,0.38252,0.37597,0.36325,0.11969,2.18561,2.38082,0.04845,0.008911,0.008911,0.008911
13,427.192,2.33063,2.73268,0.03567,0.29059,0.45349,0.29665,0.10363,1.97413,2.68449,0.04109,0.008812,0.008812,0.008812
14,458.879,2.28118,2.66914,0.03485,0.15176,0.21705,0.1226,0.03855,1.98538,2.94476,0.04222,0.008713,0.008713,0.008713
15,490.882,2.213,2.6957,0.03426,0.22701,0.25969,0.15275,0.0449,1.85327,2.89748,0.04115,0.008614,0.008614,0.008614
16,523.64,2.15874,2.76078,0.03378,0.30799,0.36047,0.24736,0.08683,1.95323,2.6387,0.04423,0.008515,0.008515,0.008515
17,556.143,2.12968,2.80109,0.03302,0.31068,0.41926,0.28406,0.10601,1.83862,2.44646,0.04106,0.008416,0.008416,0.008416
18,588.444,2.10386,2.70307,0.03282,0.48429,0.46124,0.45797,0.20003,1.69706,2.26338,0.03888,0.008317,0.008317,0.008317
19,621.326,2.16262,2.63561,0.03408,0.27546,0.4845,0.27938,0.10242,1.75581,2.37823,0.04139,0.008218,0.008218,0.008218
20,654.37,2.12678,2.65498,0.03342,0.48835,0.49203,0.46092,0.21408,1.65637,2.26337,0.03735,0.008119,0.008119,0.008119
21,687.505,2.08123,2.63633,0.03203,0.50102,0.57752,0.5267,0.22952,1.82453,2.16165,0.04214,0.00802,0.00802,0.00802
22,720.544,2.07269,2.64084,0.03169,0.42971,0.51163,0.45016,0.20966,1.74459,2.28507,0.03972,0.007921,0.007921,0.007921
23,753.072,2.0449,2.55189,0.0312,0.48105,0.58915,0.5469,0.26293,1.72139,1.98373,0.0382,0.007822,0.007822,0.007822
24,785.927,2.01554,2.52991,0.03023,0.4455,0.60102,0.4973,0.21998,1.87945,2.15554,0.0435,0.007723,0.007723,0.007723
25,819.067,2.04241,2.49856,0.03086,0.52213,0.52326,0.52444,0.25254,1.73045,2.27043,0.03934,0.007624,0.007624,0.007624
26,852.094,2.04127,2.4739,0.03062,0.50931,0.54264,0.52211,0.23745,1.75773,2.20646,0.03773,0.007525,0.007525,0.007525
27,884.147,1.96886,2.47363,0.0293,0.5605,0.60465,0.60158,0.25246,1.88596,2.23298,0.04337,0.007426,0.007426,0.007426
28,917.125,1.9808,2.40486,0.02938,0.54188,0.62403,0.58674,0.27509,1.77983,1.78849,0.04036,0.007327,0.007327,0.007327
29,949.94,2.01693,2.37626,0.02991,0.47306,0.59155,0.52035,0.24233,1.8006,1.85839,0.04165,0.007228,0.007228,0.007228
30,982.63,1.95936,2.40985,0.02898,0.54172,0.63178,0.59682,0.30743,1.62372,1.90945,0.03536,0.007129,0.007129,0.007129
31,1015.2,1.93902,2.3762,0.0289,0.49623,0.63566,0.52282,0.2102,1.97493,2.24237,0.04762,0.00703,0.00703,0.00703
32,1047.49,1.96625,2.31069,0.02892,0.5395,0.6448,0.59488,0.29896,1.64928,1.94542,0.03772,0.006931,0.006931,0.006931
33,1079.73,1.94238,2.2908,0.02866,0.54523,0.67846,0.62083,0.29216,1.70587,1.87111,0.03907,0.006832,0.006832,0.006832
34,1112.16,1.94281,2.25869,0.02872,0.46679,0.63178,0.52994,0.26293,1.62997,1.86445,0.03718,0.006733,0.006733,0.006733
35,1143.85,1.92429,2.2354,0.02811,0.48436,0.66667,0.54839,0.23403,1.84596,1.91234,0.04365,0.006634,0.006634,0.006634
36,1175.52,1.91954,2.22437,0.02796,0.51711,0.66827,0.60094,0.27731,1.76067,1.6883,0.04079,0.006535,0.006535,0.006535
37,1207.07,1.92278,2.17849,0.02742,0.54822,0.64729,0.5999,0.32245,1.52437,1.78148,0.03318,0.006436,0.006436,0.006436
38,1238.61,1.89953,2.10648,0.02725,0.56021,0.65891,0.62016,0.31034,1.64528,1.80539,0.03395,0.006337,0.006337,0.006337
39,1270.78,1.92724,2.09416,0.02757,0.58928,0.60617,0.65414,0.34175,1.56924,1.89654,0.03422,0.006238,0.006238,0.006238
40,1303.47,1.89594,2.04933,0.02772,0.69487,0.6267,0.69393,0.3544,1.60939,1.68455,0.03597,0.006139,0.006139,0.006139
41,1335.08,1.89136,2.01035,0.02746,0.50761,0.68217,0.57319,0.2865,1.50678,1.89904,0.0318,0.00604,0.00604,0.00604
42,1367.11,1.82364,1.95298,0.02596,0.60805,0.6494,0.66354,0.31485,1.68291,1.4763,0.03728,0.005941,0.005941,0.005941
43,1399.03,1.87664,1.86253,0.02619,0.59532,0.64431,0.63453,0.29138,1.68938,1.52272,0.03813,0.005842,0.005842,0.005842
44,1431.24,1.84204,1.78964,0.0256,0.666,0.70332,0.72165,0.33557,1.66835,1.42534,0.03611,0.005743,0.005743,0.005743
45,1463.67,1.82728,1.65722,0.02573,0.63725,0.71318,0.73402,0.38225,1.61922,1.35487,0.03476,0.005644,0.005644,0.005644
46,1496.22,1.84747,1.56396,0.02502,0.61617,0.68446,0.70908,0.38378,1.48458,1.20511,0.03114,0.005545,0.005545,0.005545
47,1528.88,1.80637,1.50296,0.02406,0.69751,0.73256,0.78245,0.45577,1.43416,1.07943,0.02991,0.005446,0.005446,0.005446
48,1563.81,1.80958,1.37584,0.02441,0.66118,0.78662,0.7698,0.46766,1.35042,1.08491,0.02719,0.005347,0.005347,0.005347
49,1596.82,1.76882,1.32042,0.02353,0.65686,0.73454,0.75066,0.4611,1.34887,1.01959,0.02733,0.005248,0.005248,0.005248
50,1628.95,1.80115,1.2274,0.02414,0.66825,0.72481,0.77244,0.4562,1.35049,1.11866,0.02756,0.005149,0.005149,0.005149
51,1660.93,1.75781,1.20253,0.02251,0.66945,0.75194,0.75755,0.42549,1.39079,1.10056,0.02912,0.00505,0.00505,0.00505
52,1692.8,1.74944,1.19396,0.0226,0.65026,0.74031,0.76513,0.44873,1.48323,1.00619,0.03185,0.004951,0.004951,0.004951
53,1725.08,1.70613,1.11734,0.02267,0.70934,0.72868,0.78469,0.45649,1.38946,1.02915,0.02978,0.004852,0.004852,0.004852
54,1756.02,1.68078,1.06226,0.02157,0.65832,0.79161,0.78577,0.48048,1.31951,0.99047,0.02573,0.004753,0.004753,0.004753
55,1787.11,1.68457,1.03754,0.02165,0.73227,0.71029,0.79098,0.45958,1.37351,1.07165,0.02834,0.004654,0.004654,0.004654
56,1818.13,1.69469,1.08547,0.02215,0.66769,0.74419,0.77281,0.43287,1.49776,0.99584,0.03104,0.004555,0.004555,0.004555
57,1849.4,1.69123,1.04037,0.02117,0.7403,0.75134,0.81175,0.50474,1.34034,0.99626,0.02722,0.004456,0.004456,0.004456
58,1882.6,1.6689,1.00108,0.02172,0.75041,0.76744,0.81732,0.48157,1.35351,1.0103,0.02861,0.004357,0.004357,0.004357
59,1915.82,1.63104,0.96719,0.02004,0.73764,0.74806,0.79715,0.49291,1.26739,0.94102,0.02621,0.004258,0.004258,0.004258
60,1948.65,1.61164,0.96315,0.0205,0.71582,0.78295,0.81524,0.49778,1.32731,0.92269,0.02832,0.004159,0.004159,0.004159
61,1982.17,1.62671,0.95975,0.02024,0.75318,0.76357,0.81825,0.5144,1.3559,0.88488,0.0272,0.00406,0.00406,0.00406
62,2015.4,1.62847,0.96512,0.01997,0.76193,0.74419,0.82334,0.50256,1.37061,0.89687,0.02482,0.003961,0.003961,0.003961
63,2049.07,1.60889,0.91699,0.01958,0.79014,0.75969,0.82843,0.51379,1.36268,0.8758,0.02701,0.003862,0.003862,0.003862
64,2082.62,1.59536,0.89244,0.01998,0.7738,0.75581,0.83421,0.5124,1.35251,0.94412,0.02766,0.003763,0.003763,0.003763
65,2116.83,1.58947,0.88533,0.02018,0.75305,0.8062,0.82302,0.50973,1.3286,0.90507,0.02859,0.003664,0.003664,0.003664
66,2149.98,1.56441,0.89952,0.01955,0.76404,0.79068,0.82782,0.54241,1.27164,0.78718,0.02571,0.003565,0.003565,0.003565
67,2184.15,1.57182,0.84833,0.01884,0.72312,0.80983,0.83975,0.51778,1.36964,0.7963,0.02653,0.003466,0.003466,0.003466
68,2218.05,1.57332,0.86384,0.01865,0.81604,0.75651,0.86432,0.55309,1.30145,0.74309,0.0247,0.003367,0.003367,0.003367
69,2251.71,1.54066,0.802,0.01907,0.69108,0.7907,0.8072,0.5226,1.30337,0.81583,0.02619,0.003268,0.003268,0.003268
70,2284.7,1.56593,0.84807,0.01908,0.74726,0.79845,0.8317,0.53238,1.32947,0.76668,0.02622,0.003169,0.003169,0.003169
71,2318.1,1.53087,0.81362,0.01866,0.7504,0.79239,0.84254,0.5567,1.25587,0.77604,0.02408,0.00307,0.00307,0.00307
72,2351.84,1.56845,0.82504,0.01895,0.78366,0.81432,0.85644,0.55136,1.32043,0.75389,0.02564,0.002971,0.002971,0.002971
73,2385.14,1.52283,0.81617,0.01842,0.8172,0.79845,0.85488,0.54436,1.26643,0.78073,0.02468,0.002872,0.002872,0.002872
74,2418.77,1.51095,0.78774,0.01809,0.85189,0.73568,0.85827,0.53562,1.36419,0.76076,0.02408,0.002773,0.002773,0.002773
75,2452.8,1.5025,0.80807,0.01741,0.73166,0.81374,0.84007,0.55307,1.26341,0.75976,0.02478,0.002674,0.002674,0.002674
76,2486.02,1.51846,0.80052,0.01764,0.79814,0.78162,0.85082,0.55806,1.25022,0.7837,0.02313,0.002575,0.002575,0.002575
77,2519.36,1.48489,0.78714,0.0172,0.79114,0.78682,0.84988,0.52724,1.38049,0.77386,0.02548,0.002476,0.002476,0.002476
78,2552.68,1.50097,0.76632,0.01766,0.82636,0.77473,0.86851,0.56118,1.30968,0.72383,0.02642,0.002377,0.002377,0.002377
79,2586.3,1.48032,0.73214,0.01717,0.80199,0.80063,0.85954,0.55853,1.2499,0.77746,0.02443,0.002278,0.002278,0.002278
80,2619.17,1.49288,0.75564,0.01782,0.82742,0.79457,0.86305,0.56723,1.30492,0.71844,0.02431,0.002179,0.002179,0.002179
81,2652.42,1.47407,0.77872,0.01783,0.81143,0.84496,0.88141,0.57902,1.30276,0.65848,0.02535,0.00208,0.00208,0.00208
82,2685.7,1.45735,0.72847,0.01752,0.86005,0.78682,0.8792,0.55677,1.3095,0.711,0.0248,0.001981,0.001981,0.001981
83,2719.81,1.4482,0.70953,0.01714,0.82595,0.7907,0.87799,0.57434,1.28421,0.7137,0.02543,0.001882,0.001882,0.001882
84,2753.97,1.45474,0.72386,0.01697,0.79469,0.79516,0.86986,0.56278,1.29381,0.71756,0.02459,0.001783,0.001783,0.001783
85,2787.55,1.44235,0.71769,0.01654,0.83283,0.77239,0.86847,0.58146,1.18159,0.78192,0.02151,0.001684,0.001684,0.001684
