epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.5732,4.00632,6.21151,0.07206,9e-05,0.00388,5e-05,1e-05,3.78035,4.37956,0.10429,0.0702326,0.00330749,0.00330749
2,97.9004,3.46782,4.00791,0.05672,0.00123,0.36434,0.00227,0.00034,3.70854,3.71715,0.10284,0.0401997,0.00660795,0.00660795
3,148.59,3.10303,3.63949,0.04703,0.00438,0.94186,0.06049,0.0148,2.64743,3.1701,0.07003,0.0101338,0.00987542,0.00987542
4,199.875,2.68863,3.17167,0.04136,0.2171,0.32031,0.20351,0.06187,2.14068,3.07623,0.04854,0.0098515,0.0098515,0.0098515
5,252.004,2.49191,3.1004,0.03944,0.21156,0.24806,0.16493,0.04333,2.01814,3.2279,0.04702,0.009802,0.009802,0.009802
6,305.276,2.31343,3.05874,0.03748,0.32869,0.34109,0.27086,0.08317,1.9264,2.91352,0.04648,0.0097525,0.0097525,0.0097525
7,359.683,2.23981,3.05429,0.03582,0.32001,0.22481,0.2123,0.05934,2.10063,2.93096,0.05171,0.009703,0.009703,0.009703
8,414.929,2.13873,3.02478,0.03407,0.24771,0.37904,0.22989,0.08044,1.99554,2.7844,0.04434,0.0096535,0.0096535,0.0096535
9,469.289,2.09982,2.95448,0.03328,0.37483,0.44186,0.32061,0.09918,1.94288,2.68546,0.05202,0.009604,0.009604,0.009604
10,523.062,2.07177,2.87288,0.03283,0.31134,0.41473,0.28615,0.08889,1.81997,2.77811,0.04763,0.0095545,0.0095545,0.0095545
11,576.88,2.06752,2.81184,0.03287,0.41498,0.27519,0.33373,0.10372,2.02453,2.48992,0.05026,0.009505,0.009505,0.009505
12,632.012,1.99764,2.72701,0.03114,0.32995,0.46124,0.32267,0.09139,1.9758,2.5974,0.04966,0.0094555,0.0094555,0.0094555
13,686.548,2.06254,2.63302,0.03279,0.38477,0.47287,0.39342,0.14135,1.82705,2.2091,0.04584,0.009406,0.009406,0.009406
14,741.476,1.99556,2.5913,0.03115,0.37796,0.37209,0.3419,0.12476,1.76545,2.39863,0.04113,0.0093565,0.0093565,0.0093565
15,796.714,1.94753,2.54134,0.02968,0.4115,0.4228,0.3836,0.11696,1.82075,2.43974,0.04243,0.009307,0.009307,0.009307
16,855.946,1.92383,2.45957,0.02803,0.3695,0.34981,0.29606,0.10654,1.97378,2.60518,0.04373,0.0092575,0.0092575,0.0092575
17,914.186,1.91287,2.42777,0.02777,0.34954,0.56977,0.3811,0.15269,1.59844,2.52195,0.03657,0.009208,0.009208,0.009208
18,970.103,1.87083,2.36472,0.02738,0.40267,0.35271,0.3431,0.13522,1.77703,2.36741,0.04082,0.0091585,0.0091585,0.0091585
19,1025.32,1.87266,2.35393,0.02739,0.3791,0.57752,0.41107,0.1689,1.60454,2.2469,0.03589,0.009109,0.009109,0.009109
20,1080.52,1.86327,2.34872,0.0271,0.38226,0.43411,0.37655,0.16599,1.54881,2.32388,0.03355,0.0090595,0.0090595,0.0090595
21,1135.59,1.85735,2.38116,0.02684,0.42354,0.45349,0.41508,0.14759,1.68127,2.30729,0.03735,0.00901,0.00901,0.00901
22,1190.48,1.88478,2.27234,0.0275,0.37736,0.53876,0.37305,0.12946,1.66949,2.22106,0.03992,0.0089605,0.0089605,0.0089605
23,1245.86,1.84942,2.26447,0.02689,0.36175,0.53165,0.42318,0.16304,1.60003,2.14786,0.03665,0.008911,0.008911,0.008911
24,1301.06,1.81287,2.25162,0.02695,0.35439,0.47287,0.359,0.134,1.64381,2.25501,0.03586,0.0088615,0.0088615,0.0088615
25,1356.15,1.79576,2.2255,0.02608,0.41714,0.49376,0.47,0.19957,1.68185,2.28197,0.0381,0.008812,0.008812,0.008812
26,1411.07,1.79935,2.18862,0.02598,0.38928,0.44961,0.35001,0.11564,1.73443,2.45814,0.04084,0.0087625,0.0087625,0.0087625
27,1466.23,1.76823,2.2114,0.02507,0.50119,0.52713,0.53312,0.25352,1.56338,1.84671,0.03419,0.008713,0.008713,0.008713
28,1521.74,1.79801,2.13319,0.0252,0.47531,0.40698,0.46217,0.233,1.52664,2.02689,0.03276,0.0086635,0.0086635,0.0086635
29,1576.53,1.7891,2.14022,0.02539,0.53581,0.47424,0.4941,0.21163,1.68188,1.97422,0.03726,0.008614,0.008614,0.008614
30,1631.8,1.79315,2.09055,0.02547,0.36662,0.4734,0.37776,0.17526,1.60225,2.04985,0.03319,0.0085645,0.0085645,0.0085645
31,1687.03,1.79412,2.00585,0.02504,0.4765,0.44186,0.43143,0.20735,1.52837,2.01888,0.03273,0.008515,0.008515,0.008515
32,1741.85,1.83966,2.01388,0.02631,0.47069,0.51163,0.4761,0.24592,1.47898,1.82713,0.03118,0.0084655,0.0084655,0.0084655
33,1796.79,1.79298,2.02582,0.02549,0.50191,0.49602,0.50348,0.22455,1.60508,1.94164,0.03455,0.008416,0.008416,0.008416
34,1851.69,1.72953,2.04124,0.0245,0.36156,0.46535,0.37634,0.16008,1.61347,1.95209,0.03321,0.0083665,0.0083665,0.0083665
35,1906.18,1.76916,1.98623,0.02479,0.42243,0.5814,0.4977,0.26727,1.48094,1.8903,0.03036,0.008317,0.008317,0.008317
36,1962.13,1.71988,2.00652,0.02344,0.47356,0.56202,0.50224,0.22579,1.57321,1.90137,0.03059,0.0082675,0.0082675,0.0082675
37,2017.07,1.73066,1.98583,0.02347,0.447,0.49502,0.47894,0.24736,1.5187,1.9104,0.03345,0.008218,0.008218,0.008218
38,2071.63,1.71211,2.03476,0.02329,0.50275,0.56977,0.5165,0.26025,1.52955,1.75151,0.03155,0.0081685,0.0081685,0.0081685
39,2126.46,1.69391,1.97048,0.02293,0.4936,0.52514,0.49052,0.22992,1.46588,1.82968,0.02952,0.008119,0.008119,0.008119
40,2181.38,1.66894,1.9145,0.02298,0.51776,0.58676,0.50399,0.25356,1.52181,1.87752,0.03221,0.0080695,0.0080695,0.0080695
41,2236.13,1.69466,1.93343,0.02279,0.55783,0.44186,0.52448,0.29217,1.48331,1.66308,0.02879,0.00802,0.00802,0.00802
42,2290.76,1.72031,1.84968,0.02318,0.47363,0.66667,0.53367,0.30908,1.4073,1.75151,0.02808,0.0079705,0.0079705,0.0079705
43,2345.51,1.65772,1.86499,0.02261,0.42151,0.56766,0.44479,0.22269,1.46061,1.80692,0.02931,0.007921,0.007921,0.007921
